BC_Diat,BC_Chlo,BC_Chry,BC_Cryp,BC_Cyan,BC_Dino,CB_Diat,CB_Chlo,CB_Chry,CB_Cryp,CB_Cyan,CB_Dino,CN_Diat,CN_Chlo,CN_Chry,CN_Cryp,CN_Cyan,CN_Dino,DE_Diat,DE_Chlo,DE_Chry,DE_Cryp,DE_Cyan,DE_Dino,HP_Diat,HP_Chlo,HP_Chry,HP_Cryp,HP_Cyan,HP_Dino,HY_Diat,HY_Chlo,HY_Chry,HY_Cryp,HY_Cyan,HY_Dino,PC_Diat,PC_Chlo,PC_Chry,PC_Cryp,PC_Cyan,PC_Dino,RCE_Diat,RCE_Chlo,RCE_Chry,RCE_Cryp,RCE_Cyan,RCE_Dino,RCM_Diat,RCM_Chlo,RCM_Chry,RCM_Cryp,RCM_Cyan,RCM_Dino
58.97,7.88,13.86,13.04,1.9,4.35,20.88,10.99,31.14,23.44,10.62,2.93,48.85,2.02,34.87,8.93,3.17,2.16,19.02,7.2,53.31,13.26,1.59,5.62,57.19,4.52,27.31,6.06,2.05,2.87,1.73,6.73,71.15,4.62,0.58,15.19,8.6,10.48,29.57,20.97,1.88,28.49,26.46,7.29,47.29,13.96,2.29,2.71,73.48,6.22,6.22,7.87,5.33,0.89
53.5,8.18,16.36,15.65,4.21,2.1,28.68,11.93,35.28,20.05,1.52,2.54,5,22,42,19,9.5,2.5,2.4,2.97,85.61,6.94,1.14,0.63,66.67,2.65,7.39,8.9,10.89,3.5,6.74,3.48,51.74,7.39,0.22,28.7,1.49,2.12,82.44,9.09,0.87,3.99,32.05,4.82,37.59,15.42,3.61,6.51,22.9,9.76,18.52,14.14,33.67,1.01
34.34,10.1,20.2,29.29,6.06,0,25.29,31.61,20.69,13.79,7.47,1.15,43.13,11.85,21.33,9.48,10.43,3.79,25,6.25,25.48,29.81,0.48,12.98,47.36,2.96,29.6,7.93,11.73,0.42,1.47,2.15,63.38,1.81,0.34,30.84,0.89,4.01,53.45,8.02,0.45,33.18,22.16,7.95,35.8,19.32,0.57,13.64,47.06,8.82,14.71,24.12,5.29,0
43.87,12.09,22.28,17.27,3.28,1.21,40.68,3.39,27.68,23.73,0,4.52,16.46,7.17,51.9,19.83,2.95,1.69,30.43,19.57,23.29,15.84,0.93,9.01,37.35,10.84,13.65,14.86,21.29,2.01,5.11,5.11,40.91,11.36,5.11,32.39,9.62,17.61,33.57,14.08,2.11,23,24.51,7.64,32.86,28.6,4.97,1.42,79.86,4.58,3.47,6.39,4.72,0.97
53.21,5.13,19.87,19.23,1.28,1.28,7.84,8.82,37.25,38.24,7.84,0,70.5,0.77,18.01,6.13,1.92,2.68,15.15,10.23,51.52,16.67,6.44,0,71.16,5.03,8.47,13.49,0.79,1.06,8.11,4.5,58.56,21.62,4.5,2.7,11.43,12.86,32.86,31.43,7.14,4.29,20.2,7.07,36.36,25.25,4.04,7.07,69.59,0.68,14.86,12.84,0,2.03
56.88,15,13.13,11.88,3.13,0,3.33,6.67,67.33,19.33,2.67,0.67,43.56,4.91,41.72,4.91,3.68,1.23,45.67,0.79,32.28,16.93,1.97,2.36,71.8,5.92,9.95,7.82,2.37,2.13,0,9.46,62.16,25.68,0,2.7,5.94,2.97,23.76,27.72,7.92,31.68,13.45,10.53,26.9,10.53,1.17,36.84,55.63,9.27,18.54,11.26,4.64,0.66
48.17,7.99,32.42,7.99,2.28,1.14,11.01,0.5,77.71,5.83,0.11,4.84,1.71,0.8,95.11,1.39,0.62,0.36,3.39,2.79,83.43,5.19,1,4.19,28.67,10.38,37.7,15.35,7,0.9,0.24,1.69,56.87,0.48,0,40.72,7.3,7.56,39.8,22.67,0.5,22.17,7.47,3.51,71.65,2.29,1.37,13.72,48.33,6.67,31.9,7.62,3.57,1.9
50.76,6.04,24.17,16.62,2.11,0.3,13.17,2.24,55.04,26.89,0.84,1.82,31.33,3.81,61.67,2.09,0.61,0.49,21.5,9.79,57.2,4.22,1.73,5.37,36.03,6.15,47.21,4.47,5.31,0.84,2.36,2.18,80.76,3.45,0,11.25,1.37,9.34,66.97,7.74,0.23,14.35,15.89,5.37,70.79,0.93,1.17,5.84,51.4,3.5,30.42,6.29,1.05,7.34
38.06,17.54,26.12,10.45,7.46,0.37,12.98,1.83,74.24,5.27,2.03,3.65,10.14,1.81,72.15,2.03,0.43,13.45,10.74,3.53,68.91,9.78,1.28,5.61,64.36,3.38,24.12,6.14,0.61,1.38,5.94,4.09,70.21,1.43,1.94,16.38,10.46,1.96,48.04,4.25,0.33,34.97,9.09,5.15,68.79,5.45,2.42,8.79,24.19,7.53,37.63,16.67,8.06,5.91
47.15,3.87,38.27,6.61,2.96,1.14,7.13,1.66,75.77,10.93,0.24,4.28,5.08,2.33,88.88,3.18,0.21,0.32,8.56,9.29,43.28,34.47,1.96,2.44,36.86,2.86,44.57,10.29,1.71,3.71,2.03,1.08,93.45,1.76,0.2,1.49,10,0.59,51.76,8.24,5.88,23.53,10.16,3.49,72.7,6.03,1.59,6.03,41.18,4.07,41.63,10.86,2.26,0
47.84,7.84,29.9,9.48,3.92,1.03,1.99,5.58,45.02,18.73,11.95,16.73,27.71,4.03,38.29,8.06,6.3,15.62,4.24,3.05,83.63,4.92,0.85,3.31,34.84,10,38.39,9.68,4.52,2.58,1.58,9.49,66.4,2.77,7.11,12.65,0.79,7.52,77.23,4.36,1.98,7.52,34,4,41.14,3.71,3.14,13.71,43.35,5.2,23.12,5.78,9.25,13.29
34.77,7.47,41.67,4.89,4.31,6.9,9.09,11.89,49.65,18.18,2.8,8.39,22.17,2.76,66.57,2.28,0.24,5.99,15.68,4.07,65.58,8.76,1.83,4.07,21.62,5.41,48.05,17.72,4.8,2.4,0,11.69,69.33,1.62,2.89,14.47,8.84,5.67,63.72,4.08,3.63,13.83,7.71,4.14,69.36,6.02,0.75,12.03,11.98,4.32,64.83,6.29,0.39,12.18
12.23,4.46,70.17,10.29,1.83,1.03,4.97,10.99,62.04,13.61,2.88,5.5,4.55,0.39,88.88,1.91,0.21,4.06,13.55,6.86,66.55,9.09,0.86,2.57,5.31,1.13,86.1,4.86,0.34,2.26,2.29,40.23,41.37,1.83,5.94,8.23,0.92,4.59,68.5,11.31,3.67,11.01,4.74,4.27,82.44,3.56,0.12,4.74,19.62,3.48,63.61,10.76,1.27,1.27
38.97,4.69,36.15,14.55,5.63,0,30.53,3.82,40.27,18.13,1.91,5.34,15.8,1.6,80.41,1.54,0.66,0,22.48,7.73,63.31,4.68,1.8,0,24.88,12.9,34.1,14.75,13.36,0,11.89,15.56,60.17,4.78,1.84,5.76,43.12,4.59,34.4,10.09,2.75,5.05,11.53,4.51,68.67,7.02,2.01,6.27,13.36,8.98,58.66,7.31,7.31,4.38
40.72,12.47,24.38,12.74,8.31,0.83,10.3,5.94,74.46,4.36,2.57,2.38,1.57,4.36,82.4,3.66,8.01,0,2.87,1.76,92.58,1.28,0.72,0.8,8.71,9.76,56.79,11.15,6.62,6.97,5.43,20.22,55.24,10.86,5.06,3.18,8.49,8.86,68.27,11.07,2.58,0.74,33.2,10.66,36.27,12.91,2.05,4.92,15.84,13.51,43.38,19.48,5.45,2.34
17.54,7.46,61.18,10.09,0.66,3.07,30.23,5.07,37.91,20.59,0.98,5.23,12.94,4.9,65.38,13.99,1.05,1.75,11.93,5.96,69.06,11.93,1.12,0,17.41,7.12,46.97,17.15,8.18,3.17,2.82,20.85,60.56,7.04,8.73,0,0.79,8.2,78.04,12.43,0.53,0,13.24,6.62,61.76,4.05,10.68,3.65,15.82,13.51,53.54,10.38,3.79,2.97
24.5,12.25,35.43,20.86,3.64,3.31,10.65,10.96,62.35,13.73,0.46,1.85,12.99,3.63,74.17,7.25,1.06,0.91,3.65,10.78,74.79,8.46,1.66,0.66,15.34,14.45,45.72,16.22,3.24,5.01,8.78,16.59,62.44,1.95,4.63,5.61,15.66,8.84,50.6,12.05,2.41,10.44,14.55,8.6,62.31,10.58,0.66,3.31,18.01,4.6,53.26,21.07,2.3,0.77
12.18,15.3,50.71,16.71,1.7,3.4,4.96,6.11,65.27,18.32,0.57,4.77,0.95,4.05,82.14,5.71,0.71,6.43,5.03,5.59,75.73,9.51,1.9,2.24,12.05,15.34,46.85,15.89,2.74,7.12,0,14.12,71.76,7.06,4.12,2.94,3.48,7.83,71.59,10.72,6.38,0,8.84,11.87,55.81,14.14,3.79,5.56,12.38,6.39,67.66,11.18,0.4,2
10.62,5.02,75.5,5.02,2.68,1.17,11.04,1.06,78.86,6.52,0.13,2.39,17.12,3,67.87,6.16,0.45,5.41,16.52,1.8,71.27,6.82,0.54,3.05,15.42,1.99,56.05,15.09,7.3,4.15,13.68,7.94,45.61,23.14,3.72,5.91,6.63,5.88,63.83,16.9,2.88,3.88,11.26,5.29,62.01,8.14,6.78,6.51,2.53,0.35,94.67,0.72,0.72,1.01
13.81,3.94,73.78,5.1,2.09,1.28,18.14,1.35,70.56,9.8,0.15,0,6.83,2.1,83.07,3.26,1.89,2.84,14.74,11.79,41.79,19.68,11.16,0.84,10.96,5.48,45.21,26.94,11.42,0,6.43,11.94,58.68,8.6,5.84,8.51,5.66,2.08,66.79,10.38,1.32,13.77,5.51,2.04,82.96,3.67,3.57,2.24,10.1,3.15,66.56,12.58,1.82,5.79
21.57,6.72,42.58,9.52,9.24,10.36,26.14,8.32,43.17,12.48,0.59,9.31,2.82,2.44,89.62,2.44,2.31,0.38,6.24,1.34,83.69,5.7,0.74,2.01,19.6,7.78,38.62,15.85,10.09,8.07,9.84,5.12,62.53,5.39,2.56,14.56,2.07,7.25,59.07,7.25,3.63,20.73,18.22,5.43,55.04,14.34,5.81,1.16,16.8,5.43,37.73,21.71,4.91,13.44
25.59,5.88,31.76,10,3.24,23.53,18.76,6.4,56.93,7.89,5.97,4.05,6.75,3.55,74.49,2.86,1.72,10.64,21.8,6.23,49.51,14.1,1.31,7.05,17.72,7.59,15.61,27.85,15.61,15.61,2.94,12.13,67.12,7.05,1.37,9.39,2.1,2.44,83.12,2.56,0.12,9.66,9.12,4.48,66.5,5.64,2.16,12.11,27.78,2.12,38.1,6.08,3.97,21.96
17.15,4.68,59.84,8.58,1.17,8.38,10.31,2.5,62.89,4.42,2.06,17.82,26.38,12.47,35.99,7.57,3.27,14.31,24,5.12,48.2,13.09,2.94,6.64,9.98,5.94,54.56,18.9,8.07,2.55,15.19,9.67,41.71,6.08,6.35,20.99,3.57,4.05,59.4,4.17,0.36,28.45,7.81,8.65,61.09,5.72,3.35,13.39,31.95,3.97,36.82,7.94,5.23,14.08
11.06,1.19,71.46,5.35,1.78,9.16,3.2,5.03,64.94,9.91,2.9,14.02,21.34,4.56,56.59,5.52,6.47,5.52,8.14,6.25,65.12,7.85,1.89,10.76,22.78,9.76,32.84,13.61,19.23,1.78,8.32,6.35,56.98,1.97,0.85,25.53,2.32,6.12,46.41,12.45,1.05,31.65,8.67,4.68,51.76,6.79,3.04,25.06,23.02,3.32,46.8,6.14,3.32,17.39
11.99,4.24,61.07,12.18,1.48,9.04,15.45,6.47,60.13,14.2,0.84,2.92,18.86,12.11,52.42,10.03,0,6.57,14.43,8.08,55.15,18.56,2.75,1.03,16.48,3.91,33.52,4.47,37.43,4.19,6.73,6.14,70.5,6.34,1.58,8.71,4.43,8.59,41.55,11.08,4.99,29.36,6.65,5.32,69.58,7.41,6.08,4.75,9.09,6.63,53.56,10.57,4.91,15.23
10.57,1.38,80.01,4.19,0.64,3.2,6.81,4.81,32.79,24.11,1.4,30.07,36,4.57,43.3,5.17,3.24,7.73,13.12,2.15,67.88,4.18,1.29,11.33,15.08,5.36,48.77,18.24,6.53,6.01,4.09,13.25,37.06,2.34,18.26,24.7,8.73,4.02,55.86,4.53,0.95,25.91,5.04,4.76,74.64,9.41,0.65,5.26,17.61,4.72,56.91,5.09,1.8,13.86
8.08,3.87,80.21,2.88,1.31,3.57,25.93,8.39,35.78,6.37,2.97,20.57,40.45,7.87,27.48,14.5,3.15,6.55,5.27,1.92,73.6,9.99,1.01,7.68,21.18,2.1,60.77,11.92,1.62,2.41,1.38,5.89,73.36,3.81,2.16,13.39,0.56,1.9,50.52,5.52,0.04,41.46,4.41,2.88,75.68,6.15,1.62,9.18,18.76,6.73,58.45,4.78,1.95,9.33
48.46,5.8,27.91,11.13,3.47,3.23,13.62,3.52,65.62,8.75,2.6,5.89,25.19,4.35,41.17,5.81,17.94,5.54,47.72,9.45,22.18,6.76,7.59,6.22,28.31,8.36,29.17,12.35,15.92,5.9,13.57,12.33,55.57,2.65,3.6,11.28,20.77,4.64,50.65,2.49,0.63,20.79,10.63,5.87,67.71,5.07,2.13,8.31,43.43,10.09,32.54,4.98,1.46,7.5
34.13,5.72,20.18,21.36,8.57,10.04,65.34,2.36,10.47,19.78,0.49,1.55,19.59,2.5,62.03,6.83,1.38,7.68,10.01,3.54,72.93,7.02,2.48,3.69,36.17,17.23,12.82,12.81,16.59,4.39,4.97,12.2,49.42,1.76,1.33,30.16,19.03,6.75,42.81,2.41,2,27,24.85,9.54,39.25,5.57,2.89,17.81,49.35,3.62,28.17,6.14,2.03,10.69
74.07,4.35,9.45,11.02,1.07,0,10.22,3.69,65.85,7.27,4.58,8.39,35.47,7.43,41.31,8.42,1.3,6.07,14.83,5.33,56.54,16.46,0.8,3.96,25.76,10.42,21.13,14.34,24.28,4.07,32.73,7.37,33.46,2.34,13.02,10.36,3.62,2.05,71.72,3.99,1.44,17.18,6.51,3.13,83.25,1.83,0.97,4.31,15.53,5.7,65.84,3.44,2.78,6.71
